purchase_frequency,avg_order_value,customer_satisfaction,customer_age,customer_gender,net_promoter_score,engagement_level,loyalty_program_membership,age_group,customer_loyalty_score
1,50,4,28,female,2,low,YES,,76
4,125,5,48,female,0,high,NO,46-55,67
7,,1,27,male,5,low,YES,26-35,80
5,50,1,66,female,9,low,NO,66-70,50
,125,8,65,male,1,,NO,56-65,61
,175,5,22,male,,low,YES,18-25,62
,250,2,,,1,medium,NO,46-55,54
3,175,1,67,female,10,low,NO,66-70,21
1,225,9,55,male,3,medium,NO,46-55,35
,150,3,60,female,5,low,YES,56-65,40
2,150,7,33,female,9,low,YES,26-35,26
5,200,1,20,male,4,high,YES,18-25,44
6,50,10,,male,6,low,NO,18-25,66
9,125,8,33,male,8,,NO,26-35,40
7,175,3,67,female,0,low,NO,66-70,59
8,250,10,21,male,1,,YES,18-25,39
8,200,6,30,female,4,,YES,26-35,37
8,25,5,69,male,,,NO,66-70,85
,25,9,43,female,9,high,YES,36-45,43
9,,4,68,male,9,high,YES,66-70,51
8,150,9,56,,10,high,YES,56-65,16
1,100,2,,female,2,low,YES,26-35,74
2,175,3,61,female,10,high,NO,,18
6,,4,23,female,5,low,NO,18-25,78
8,100,1,66,male,10,high,NO,66-70,35
2,250,10,23,male,0,high,NO,18-25,45
7,125,1,38,male,5,medium,NO,36-45,57
4,75,4,68,female,0,low,YES,,73
3,250,1,63,,10,high,YES,56-65,3
6,175,8,30,male,7,medium,YES,26-35,30
10,125,,45,male,0,,YES,36-45,72
1,250,4,38,female,9,low,NO,36-45,13
6,,6,,male,1,medium,YES,,95
1,200,1,47,,0,high,YES,46-55,56
,100,10,25,female,3,high,NO,18-25,60
4,50,10,,female,,medium,YES,26-35,84
6,175,10,55,male,7,,NO,46-55,28
4,100,2,33,male,,medium,YES,26-35,77
5,225,2,56,female,6,medium,YES,56-65,24
6,25,6,20,female,2,medium,YES,18-25,82
1,125,6,65,female,6,medium,NO,56-65,41
8,75,1,39,male,9,low,NO,36-45,51
7,100,7,33,male,8,medium,NO,26-35,46
8,100,2,41,male,3,medium,NO,36-45,69
1,225,7,57,male,1,,NO,56-65,44
,,2,55,male,8,high,NO,46-55,64
6,250,8,55,female,1,medium,NO,46-55,38
7,225,10,63,female,6,medium,NO,56-65,18
,50,1,23,male,9,medium,NO,18-25,59
2,25,9,,female,5,low,YES,26-35,70
,75,2,25,female,6,high,NO,18-25,60
10,150,2,25,female,6,high,NO,18-25,45
2,200,9,40,,3,low,NO,36-45,44
,175,1,25,male,4,,YES,18-25,50
6,125,3,39,male,,high,NO,36-45,72
8,25,,26,female,1,low,NO,26-35,92
7,125,3,,male,3,high,NO,18-25,69
2,100,5,51,female,1,medium,NO,46-55,69
,225,4,50,female,4,medium,NO,46-55,35
1,200,7,61,female,,low,NO,56-65,49
6,225,6,37,male,6,,YES,36-45,25
,125,9,67,male,10,medium,YES,66-70,21
5,175,9,60,female,,high,YES,56-65,47
7,175,5,41,female,5,medium,NO,36-45,41
10,,4,,male,2,medium,YES,,93
8,,,45,male,7,low,YES,36-45,69
2,100,2,,male,2,low,NO,56-65,79
9,,10,46,female,9,medium,NO,46-55,53
4,125,3,49,male,0,high,YES,46-55,66
10,150,7,,female,6,low,YES,36-45,44
,200,3,,female,4,,NO,56-65,49
5,250,6,69,male,2,low,NO,66-70,33
10,250,,22,male,7,medium,NO,18-25,28
6,250,2,31,male,6,high,NO,26-35,27
,100,,68,female,,medium,NO,66-70,74
8,25,8,27,male,9,medium,YES,26-35,52
5,50,5,32,female,0,high,YES,26-35,80
10,50,9,27,male,7,medium,NO,26-35,60
4,,,29,female,6,high,YES,26-35,72
,175,8,34,male,7,medium,NO,26-35,33
7,75,9,26,female,4,high,YES,26-35,58
7,75,1,30,male,4,medium,NO,26-35,73
5,225,5,37,female,4,high,YES,36-45,30
8,,3,56,female,10,medium,YES,56-65,50
10,175,3,21,female,2,high,NO,18-25,56
5,175,3,18,male,9,high,NO,,32
10,,8,68,male,8,medium,NO,66-70,57
6,200,3,,female,5,low,YES,18-25,42
3,250,5,28,,10,low,NO,26-35,12
10,175,3,,male,8,medium,NO,,41
6,200,2,61,male,1,high,YES,56-65,47
4,25,2,45,,8,medium,YES,36-45,59
5,175,,24,female,1,high,NO,18-25,62
2,50,6,23,female,8,medium,YES,18-25,52
